"R0","qq","gammaa","gammap","cincres","cinc","clinc","AWT","AWT2"
2.25,0.25,0.25,0.25,582.054836324864,4542.41336288812,8511.78005574695,1.75,"1.75 days"
2.25,0.25,0.25,0.25,308.423858208718,5651.34005250971,10023.5630352404,2.1,"2.1 days"
2.25,0.25,0.25,0.25,101.400412640586,6650.65121241829,11477.5683358089,2.45,"2.45 days"
2.25,0.25,0.25,0.25,36.3921682803471,7265.78734713714,12496.694385439,2.8,"2.8 days"
2.25,0.25,0.25,0.25,17.1766349789224,7537.73870032541,13105.3356179849,3.15,"3.15 days"
2.25,0.25,0.25,0.25,10.2203479482312,7597.11456003933,13447.0872549793,3.5,"3.5 days"
2.25,0.25,0.25,0.25,7.10162817513965,7534.81748301475,13625.701789444,3.85,"3.85 days"
2.25,0.25,0.25,0.25,5.4414465622827,7404.14157990079,13703.7570279221,4.2,"4.2 days"
2.25,0.25,0.25,0.25,4.43608944987583,7235.98348304263,13718.7279562893,4.55,"4.55 days"
2.25,0.25,0.25,0.25,3.76661016616782,7048.55826106141,13693.6051239414,4.9,"4.9 days"
2.25,0.25,0.25,0.25,3.28838547003433,6852.80983750721,13642.9099316671,5.25,"5.25 days"
2.25,0.25,0.25,0.25,2.9284375154858,6655.37768218796,13576.0293564567,5.6,"5.6 days"
2.25,0.25,0.25,0.25,2.64653158633351,6460.3114955938,13499.1808684779,5.95,"5.95 days"
2.25,0.25,0.25,0.25,2.41889362838587,6270.02674962132,13416.5070041067,6.3,"6.3 days"
2.25,0.25,0.25,0.25,2.23057736966205,6085.93950081004,13330.8383393803,6.65,"6.65 days"
2.25,0.25,0.25,0.25,2.07176823046641,5908.79875841232,13244.0797347515,7,"7 days"
2.25,0.3,0.25,0.25,3.64988095767524,1243.63823651756,4544.34905471229,0,"0 days"
2.25,0.3,0.25,0.25,4.19606542738779,1329.83876239426,4675.29696901709,0.35,"0.35 days"
2.25,0.3,0.25,0.25,5.20742846281546,1437.37507031886,4834.78236657456,0.7,"0.7 days"
2.25,0.3,0.25,0.25,7.66395220711109,1573.92834246834,5033.20507116804,1.05,"1.05 days"
2.25,0.3,0.25,0.25,15.6486002492782,1755.06711726121,5290.62843823059,1.4,"1.4 days"
2.25,0.3,0.25,0.25,41.3906156864241,2013.44764181803,5648.03217809725,1.75,"1.75 days"
2.25,0.3,0.25,0.25,99.3492690650959,2403.0423807581,6175.62780661534,2.1,"2.1 days"
2.25,0.3,0.25,0.25,159.712546031945,2969.00795264948,6945.25181364464,2.45,"2.45 days"
2.25,0.3,0.25,0.25,145.592562208337,3702.2661740464,7974.62155145284,2.8,"2.8 days"
2.25,0.3,0.25,0.25,79.8196415295319,4497.92216339151,9145.08189806344,3.15,"3.15 days"
2.25,0.3,0.25,0.25,36.2153414257356,5157.20749494375,10187.384013462,3.5,"3.5 days"
2.25,0.3,0.25,0.25,17.9109057160502,5586.02672339765,10956.3530988541,3.85,"3.85 days"
2.25,0.3,0.25,0.25,10.4511849492071,5820.5842672156,11480.5698675699,4.2,"4.2 days"
2.25,0.3,0.25,0.25,7.04351205897112,5922.43531628155,11829.4394589776,4.55,"4.55 days"
2.25,0.3,0.25,0.25,5.26307754979099,5938.63639967807,12058.9052606019,4.9,"4.9 days"
2.25,0.3,0.25,0.25,4.21650944461133,5900.23527557765,12207.0379830309,5.25,"5.25 days"
2.25,0.3,0.25,0.25,3.54017618952625,5827.18031421991,12298.9960643881,5.6,"5.6 days"
2.25,0.3,0.25,0.25,3.06956059392092,5732.38467340806,12351.5709567642,5.95,"5.95 days"
2.25,0.3,0.25,0.25,2.7228465401358,5624.31586780517,12376.163568535,6.3,"6.3 days"
2.25,0.3,0.25,0.25,2.4558606900835,5508.61692009603,12380.6915091377,6.65,"6.65 days"
2.25,0.3,0.25,0.25,2.24304082082748,5389.0871920196,12370.7520009218,7,"7 days"
2.25,0.35,0.25,0.25,2.46273181699157,976.967462734207,4281.11951633779,0,"0 days"
2.25,0.35,0.25,0.25,2.63238331582642,1026.63237877261,4365.56644520821,0.35,"0.35 days"
2.25,0.35,0.25,0.25,2.87045794897774,1085.93724774569,4463.69170084738,0.7,"0.7 days"
2.25,0.35,0.25,0.25,3.22683386720641,1156.74589296196,4578.45568169111,1.05,"1.05 days"
2.25,0.35,0.25,0.25,3.82018939162876,1242.12507027177,4714.48920034388,1.4,"1.4 days"
2.25,0.35,0.25,0.25,5.01396147966818,1346.95454052874,4878.92035716148,1.75,"1.75 days"
2.25,0.35,0.25,0.25,7.84797691935513,1479.4983870873,5083.50640505991,2.1,"2.1 days"
2.25,0.35,0.25,0.25,14.6851289403239,1653.99923855013,5348.30145218822,2.45,"2.45 days"
2.25,0.35,0.25,0.25,28.3262347088573,1894.08856669406,5707.05111552183,2.8,"2.8 days"
2.25,0.35,0.25,0.25,46.0017638236223,2231.54901362093,6207.9966665704,3.15,"3.15 days"
2.25,0.35,0.25,0.25,53.81607670654,2690.76746061915,6895.72084028051,3.5,"3.5 days"
2.25,0.35,0.25,0.25,43.053209406213,3247.22919245588,7751.33516259032,3.85,"3.85 days"
2.25,0.35,0.25,0.25,26.4482442715761,3799.00973761393,8640.63297272092,4.2,"4.2 days"
2.25,0.35,0.25,0.25,15.2711449798872,4241.57097043181,9410.70144796476,4.55,"4.55 days"
2.25,0.35,0.25,0.25,9.43927579910762,4545.69117974907,10006.7386814621,4.9,"4.9 days"
2.25,0.35,0.25,0.25,6.45740051555278,4733.03874585945,10447.3034693908,5.25,"5.25 days"
2.25,0.35,0.25,0.25,4.82786199282389,4834.91508238223,10768.7751223031,5.6,"5.6 days"
2.25,0.35,0.25,0.25,3.85752550464633,4877.05633652877,11002.9810784815,5.95,"5.95 days"
2.25,0.35,0.25,0.25,3.23116109348294,4877.966537423,11173.5942002162,6.3,"6.3 days"
2.25,0.35,0.25,0.25,2.79817953965243,4850.48624757197,11297.4971730166,6.65,"6.65 days"
2.25,0.35,0.25,0.25,2.4817195908492,4803.48413859361,11386.6610475088,7,"7 days"
2.25,0.4,0.25,0.25,1.85069445972511,803.587952359805,4109.96332848909,0,"0 days"
2.25,0.4,0.25,0.25,1.92376745082011,835.667179565839,4170.46627497397,0.35,"0.35 days"
2.25,0.4,0.25,0.25,2.01786204895016,873.004293676669,4238.79524996205,0.7,"0.7 days"
2.25,0.4,0.25,0.25,2.13971146437966,916.223100096445,4316.12019540961,1.05,"1.05 days"
2.25,0.4,0.25,0.25,2.30192464115717,966.353212721604,4404.20847761132,1.4,"1.4 days"
2.25,0.4,0.25,0.25,2.53129122888653,1024.89436204185,4505.51346058057,1.75,"1.75 days"
2.25,0.4,0.25,0.25,2.88046297250288,1094.01644809398,4623.49303123844,2.1,"2.1 days"
2.25,0.4,0.25,0.25,3.48943561211847,1176.95028379214,4763.19757473436,2.45,"2.45 days"
2.25,0.4,0.25,0.25,4.63973574545184,1278.60586021385,4932.22495414235,2.8,"2.8 days"
2.25,0.4,0.25,0.25,6.91469198423688,1406.86907037713,5142.66799179939,3.15,"3.15 days"
2.25,0.4,0.25,0.25,10.9465393894857,1574.13809324133,5413.69949989728,3.5,"3.5 days"
2.25,0.4,0.25,0.25,16.4649927915499,1798.13160219226,5773.59692612893,3.85,"3.85 days"
2.25,0.4,0.25,0.25,20.9329218756355,2097.64022917362,6254.98361549479,4.2,"4.2 days"
2.25,0.4,0.25,0.25,20.8641626635787,2474.94544039386,6869.70496369373,4.55,"4.55 days"
2.25,0.4,0.25,0.25,16.5097328209759,2891.65694422672,7569.58070542167,4.9,"4.9 days"
2.25,0.4,0.25,0.25,11.477336334877,3280.09641297582,8256.15853643987,5.25,"5.25 days"
2.25,0.4,0.25,0.25,7.85224391079416,3591.78763044449,8851.21111036351,5.6,"5.6 days"
2.25,0.4,0.25,0.25,5.62932557707675,3816.97633546206,9331.24103610516,5.95,"5.95 days"
2.25,0.4,0.25,0.25,4.29351841242661,3967.69549285334,9706.69449600054,6.3,"6.3 days"
2.25,0.4,0.25,0.25,3.45983081564827,4060.88537469565,9997.78265322735,6.65,"6.65 days"
2.25,0.4,0.25,0.25,2.90998232270939,4111.3932716663,10223.5258050205,7,"7 days"
2.25,0.45,0.25,0.25,1.47238800385733,679.013406899001,3986.98086140858,0,"0 days"
2.25,0.45,0.25,0.25,1.50963972541425,701.206743522528,4033.08639418604,0.35,"0.35 days"
2.25,0.45,0.25,0.25,1.55577030603609,726.546385315744,4084.09629410176,0.7,"0.7 days"
2.25,0.45,0.25,0.25,1.61225969189351,755.281423875525,4140.56188415715,1.05,"1.05 days"
2.25,0.45,0.25,0.25,1.68141410049278,787.83435947577,4203.31057080649,1.4,"1.4 days"
2.25,0.45,0.25,0.25,1.76766345567048,824.790283669146,4273.41656393382,1.75,"1.75 days"
2.25,0.45,0.25,0.25,1.8780491455783,866.952283503712,4352.29508332458,2.1,"2.1 days"
2.25,0.45,0.25,0.25,2.02595146482113,915.428437488863,4441.84644040277,2.45,"2.45 days"
2.25,0.45,0.25,0.25,2.23485793051497,971.726853147753,4544.6282422209,2.8,"2.8 days"
2.25,0.45,0.25,0.25,2.55445396036829,1038.01188067988,4664.25483151436,3.15,"3.15 days"
2.25,0.45,0.25,0.25,3.08813288359104,1117.40879846087,4805.91236208551,3.5,"3.5 days"
2.25,0.45,0.25,0.25,3.98867915479513,1214.60683821485,4977.34847761079,3.85,"3.85 days"
2.25,0.45,0.25,0.25,5.43469280357075,1336.6200989403,5190.21197232626,4.2,"4.2 days"
2.25,0.45,0.25,0.25,7.42764281470135,1493.38522261819,5461.34789206174,4.55,"4.55 days"
2.25,0.45,0.25,0.25,9.46135319655071,1696.58270295263,5811.64312064514,4.9,"4.9 days"
2.25,0.45,0.25,0.25,10.514434813688,1953.25379609399,6256.76153749452,5.25,"5.25 days"
